message,label,length,autotag
miss babe long aliv happi yawwwnn tire love imma tri sleep hope headstart,1,137,0
,1,14,1
miss kenni power,0,20,0
bridgetsbeach thank let peopl know sad direct messag got actual bridget,1,127,1
india miss th test victori th consecut win without loss,1,87,1
jonathanrknight guess,1,43,1
sadli go bed,1,23,0
ozesteph shame hear stephan,1,41,1
mrsaintnick hey leavin,1,47,1
intend finish edit page novel manuscript tonight probabl happen page left,1,132,1
laid around much,1,48,1
twista still read th amp th princess diari save francesca made cri end hmm easi book,1,133,1
nokia die,1,22,1
mom might breast cancer find anyth like week worri,1,89,1
go sleep hope tomorrow better day,1,49,1
rumblepurr lol wish understood daylight save end though breakfast hour later keep wake kid,1,137,1
onemoreproject lame,1,29,1
,1,37,1
hero,1,49,1
live downtown sure much fun,1,42,1
jonathanchard calori wise wish junk food calori free ate thing sour skittl big ass cherri coke,1,126,1
man work hard,1,17,1
get sick time hot tea studi sleeeep,0,63,0
get eyebrow wax pain,0,34,0
phantasi star yesterday go,1,44,1
oh got macheist app sweet get espresso serial though although said sent oh well,1,131,1
pick mich st win get go feel pretti good pick way lost,1,136,0
alon,1,30,1
feel bad,1,24,1
ryanseacrest hate anoop mean serious kinda mean,0,92,0
pinkserendip ye sprint baltimor chicago far,1,72,1
stuck awak middl night second day row felt terribl yesterday,0,103,0
thank burst bubbl,0,30,0
go school find anyth wear gosh hard,1,72,1
marieclr seriou lol,1,28,0
naughtyhaughti page sooooo long got delet sad day histori,1,92,0
crazi wind today bird,1,49,1
current work,1,20,1
grrr ipod act weird jai ho think play full song ughh,1,99,1
penndbad send dvd co miss heap happi,1,79,1
see big deal websit,1,43,1
machineplay sorri go therapyfail,1,80,1
colindemar far way rail tip,1,61,0
still swear keep lose gain lose gain tweep heart wrench,1,102,1
today realiz good hide thing even find,1,70,1
stay friend neighbor loud parti,1,81,1
dannyvegasbabi danni im upset wasnt watch live chat car hour trip im soooo upset,1,127,0
check mug,1,55,1
border close,0,21,0
download nin new album quot slip quot hell come behind time day,0,119,0
woke alreadi written go earli univers today teach,1,120,1
watch hill make sad,1,48,1
mani,1,81,1
supersport miss buddi ill ny th,1,53,1
robluket love french tell peopl south qtr french snarl french beauti peopl,1,128,1
opp said still got one day remain problem come,0,67,0
activ selfcontrol block earli mean check new qc regular intern clock might difficult fb,1,136,1
hillydop oh,1,16,1
spencer good guy,1,27,1
goodlaura rees die ttsc season final next week bore madam presid crazi woman,1,120,1
jonathanrknight hate limit letter hope guy fine pray dog well,0,112,0
get shit done today screw,1,44,1
wanttss go,1,18,1
go sleep tonit,1,30,1
worri tire post tonight,1,38,1
get shit done today screw,1,46,1
job interview cardiff today wish luck got hour sleep,1,70,1
stuston show whack way wors whack wiggeti whack,1,84,0
stuston show whack way wors whack wiggeti whack,0,84,0
eloquentembrac go kill seen ds wait till one solid week sit,1,127,1
cheechbud think ur right hahaha hr,1,53,1
hate see spartan sad,0,34,0
mind bodi sever protest quot get quot thing nightmar boot,1,100,1
mysteezradio goin follow sinc lol go angel,1,68,1
mandayyy,1,10,1
twista think want read book librari,1,79,1
nap interrupt mani time today go japanes rent,1,91,1
kind long bu show end ghost world right ugh,1,82,0
gurumn canada canada weird suppos get snow wednesday ugh,1,95,1
awwh quot yesterday musik quot like look new transform movi,1,142,1
sad feet macbook fell,1,48,0
gon na get late tomorrow gon na get tipsi lonesom sad,1,111,1
sweat forthcom trip find someon crash may screw,0,119,0
gotten somebodi read tweet cant get make account,1,82,1
infinitydefin omgawd couldnt handl cat heat time,1,81,1
donniewahlberg hope make auburn show look good,0,89,0
david henri that peopl mag haha couldnt fit dont think pictur ever made magazin tho haha,1,130,1
breadandbadg congrat total forgot submit photo,1,62,1
paulaabdul awww good luck paula pleas work hard hope fun new album gon na amaz xxx,1,129,1
imaginarypeach leav,1,52,0
miss twitter phone broke use stupid nokia phone ughhh miss advanc phone,1,104,1
shoot outsid hous kid scare,0,52,0
tuesday start reflect lectur stress reduc techniqu sure might becom use us accompani,1,137,1
tragedi disast news week,0,48,0
ye ye still tri find pictur upload correclti,1,68,1
oh red sox game rain look forward open day,1,84,0
still find key,1,28,1
charlietm know right dunno go twitter,1,64,1
might get sore throat,1,37,1
labelsnotlov home town mammi call depressd pl explain parent let yr old child walk alon hello,1,137,1
ircmaxel think need find better anti depress think paxil wellbutrin combo lose efficaci,1,123,1
myconnecticut restaur call woodntap competit eat tourney round tourney time place nd,1,106,0
,1,37,1
caitlinoconnor want taco margarhita telll gay say hello lt,1,72,1
im lone keep compani femal california,1,49,1
bad day betfair offic,1,30,1
miss wait celebr tar heel win weekend though,1,75,1
realli cold want go sleep yet noth,1,75,1
kristencampisi offici go round,1,76,1
monkey found twin wont even write back heartbroken,1,86,1
miss om aww know felt like yesterday work,1,56,1
sarahreedsc treati defin,1,34,1
miss brent prais band fun lead guitarist lt pout gt,1,88,1
miss brent prais band fun lead guitarist lt pout gt,0,88,1
miss bff watch home away remind lt shout court,1,102,1
mandayyy,1,12,1
new video card doa,1,23,1
feel lost nake confus jk sort,1,69,1
damn late fill apprais form peopl almost sent occupi work,1,106,1
miss brent prais band fun lead guitarist lt pout gt,1,82,1
think much past cant chang deserv much wat got,1,131,0
lost ring seen,1,44,1
burgaw ooooooh sealclap see download shitload zip folder chan internet money fuck yeah alicia amp mikey,1,137,0
still nurs nile glad feel better hate babi sick,0,84,0
fuck go back ic,1,27,1
brandizzzl yoyoyo internet rude tonight reconnect go bed,1,106,0
jemcam well uni stuff netbal netbal done uni stuff,1,89,1
kissabl poor,1,30,1
help forget th april amp th juli,1,42,1
dierk bentley comin columbu oh wan na go bad,1,61,1
take sidekick back,1,33,1
chriscantor congrat total jealou wish xm work,1,73,1
gr face itchi,1,27,1
poor sock luvvvvv golden retriev want one sighhhh,1,61,1
saw found traci girl piec,1,89,1
aaaaand nausea back,1,28,1
donniewahlberg ooh excit even go long love youtub,1,81,0
spent hour reach axi bank find today holiday mahavir jayanti contd,1,97,1
mathewsmichael,1,69,1
fishmous hilari link clip lj time ago went back dead link,0,120,0
diannepulham oooooooo im neither that need studi,1,85,1
tweet nearli day post websit tonight hope goe well night time,1,96,1
bostongarden miss bentley,1,29,1
serious need finish job applic,1,49,1
son vinca sick stay home three tens day work back holiday kid,0,107,0
whing client amp boss understand english well rewrot text unread written good writer amp review correctli,1,145,0
huntermoor want ever punch,1,49,1
sooo sick snow ughh,0,27,0
nemesi,1,21,1
lovemeagan work fan upset,1,46,1
would like apolog repeat video game live relat tweet go stern discuss koodo soon stern,1,138,1
zaydia cant figur get back pay hotel etc,1,76,1
fml much senior bc technolog inept quot regist quot class,1,112,1
feel like slept day away look forward bout gallbladd least pill pain,0,137,0
thastevieg realli want old bass back,1,55,1
mad tire,1,67,1
levenrambin take easi good,1,48,1
afraid bad code,1,27,1
think go bed goodniight hate,0,48,1
riancurti friend love,1,46,1
kariajay time notic,1,79,0
aaronrva bathroom pee,1,51,1
ashleyskyy want margarita,1,42,1
kourtneykardash yup night workout worst unfortunetli work schedul allow go night tough,1,123,1
call hillsong said tell wait list know look good,1,132,1
milki bar left around ml coke,1,51,1
jokerrrr stillllll arriv,1,38,1
mraow feel like danc first art school want rape,1,77,1
karenucol ah bet like crave play softbal basketbal noo time,1,107,1
terrifi accident delet refer manag assign hope doesnt get troubl get back,1,134,1
amazon plugin work websit need php host provid php sad,1,113,1
argh suuuper sleepi hour ago wide awak hope stay night,1,96,1
austinhil wish sold time let know would love hear,1,124,1
watch tropic thunder dread tomorrow,1,47,1
qweendassah still miss,1,39,1
chiefdelphi,1,20,1
new puppi poo fight cover poop pictur stolen,1,128,1
play game home new boss call,1,56,1
su yin huen tweet feel unbear guilt made staff cri,1,91,1
poor joshi sick damn tejano,0,43,0
thought sandra cantu famili difficult sad time,1,74,1
franzglau know want let everybodi know happen,1,74,1
michigan know sigh shame,1,70,1
fill two hour,1,25,1
alicayaba cuuut hey miss na see girl everyday,1,90,1
jonathanrknight oh mention quot gooooood moooorniiiiii quot germani im back,1,136,1
throat close string chees good idea,1,67,1
aww sandra cantu found dead suitcas miss children stori never seem go good poor famili,0,107,0
wish home underneath cover,1,40,1
walk home school drain energi,1,46,1
ridley agre shapeshift copout excit angela ep thought week noah awesom tho,1,136,1
savethestrib dang would done knew earlier outing plan,0,102,0
wish better write take long write paper,1,76,0
,1,136,1
vene ia anoth week told littl bit busi latest project,1,133,0
thecoolestout ha sun alreadi gone,1,41,1
day lot harder day let see day goe tomorrow,1,67,1
man crush jake peavi let gayforpeavi,1,49,1
trishzw megafast trip time day tom wed go tonight want see bad tri warn tech fail,0,136,0
michigan state make sad,1,31,1
omg mouth much pain wan na sleep until time take brace,0,91,0
get annoy easili today gt gt gt biofuel propos get annoy easili today gt gt gt biof,1,136,1
mizzchievouz hey girl site back girlyvu back even video,1,92,1
hleyf spend time grandma earli tomorrow leav skittl,1,97,0
got home watch michigan state get tromp,1,58,1
oh jew bu two year worth class work alot organ gt lt finish tonight,1,136,0
griffmiest exchang laptop arriv,1,61,1
hyperbet hope last long feel miser,1,64,0
rcompo rachel hang outag neccessari gon na home wekend dumb folk make work im free sat,1,136,1
theleaguesf fun amp furiou new mantra bay breaker get rambuncti citi overreact amp clamp,1,145,1
amber benson hubbi reason think import good spot red carpet trek movi premier sod,1,136,1
swear matter long get never get easier man eye hurt wah,1,104,0
jeffre star jeffre keep hair one color perman dye fade within week,1,99,1
otakusecret reaction whoa see come,1,58,1
still sick feel bit better got new suppos snow wtf,0,137,0
dangerm use think mayb get coupl hour sleep hon product right ur dog tire worri,1,138,0
maddyva thank lot learn lot new word find look,1,90,1
wish xblm download gamertag hitokyri gamertag thing tire,1,123,1
new testament test,1,32,1
scoutbuck ton hay troll ahhhh,1,36,0
stupid movi rip,1,70,1
buck,1,45,1
last one still done,1,34,1
,1,13,1
understand thing get taken away enough time unfair want back like babi,1,131,1
scratch du heif two half cooki tum take anymor shoog poot,1,94,1
cococourtney listen sweet first time forev miss much go chi town visit plz,1,138,0
geez busi afternoon meet email meet email meet pm day still go ah dark,1,132,1
dang anoth spring break cool bad work week oh well money phone ttyl everbodi,1,137,1
sara kate im afraid ur repli uni age ago,1,60,1
feel,1,13,1
carvin lol emot ass men omg late night eat us broke,1,101,0
nick carter aww nick like hair longer cut break heart,1,91,1
wonder jon lost net,1,27,1
wow depress thing world lose video creat matter second fml,1,111,1
nchokkan tid say stock,1,82,1
poohpot lmao im sorri poohpot ate,1,45,1
chanc softbelli mtub loud,1,46,1
time move posterior lose fat articul creak run drool swim,1,126,1
listen nathan,1,28,1
today suck gon na die without chri callum wahhh,1,61,1
stou site updat info exam open cours must wait mail notic doc,1,110,0
sorri feel kinda yucki go come quick,1,87,1
love scrappi missin alreadi,1,50,1
want hear seblefebvr song myspac mess,1,66,1
bad news dad cancer die good news new busi start life coach practis holist weight manag,1,138,1
duchess rebecca,1,48,1
help need new stuck rut,0,51,0
feel like complet idiot one get shit work help,1,92,0
saw ad craigslist cast call femal host total psych realiz hoax,1,118,1
pepperoni roll call valentino said sausag roll pepperoni roll,1,136,1
soillodg ye monday,1,45,1
want new gg episod alreadi,1,34,1
miss watch rocko modern life,1,37,1
rip,1,68,1
keep finger cross buddi feel well,1,66,1
wait eat skinni vega hungri,1,57,1
marg inovera tri tweetdeck hate passion hate,0,101,0
benackerman btw iphon act funni die quickli freez bs admit anyth sayin,1,119,1
sit wonder quot ed quot still strong hold,1,77,1
bananafac im sorri got sick lol go bed night,0,67,0
carolrainbow internet home drive ox use internet builder,1,94,1
steve buscemi weather canada freez,1,49,1
twiggassssssss rang day back hope good,1,80,1
danadearmond,1,14,1
anyon read pray grandma pain,0,57,0
woke accid quot push push quot cri stop wet pant,1,144,1
home franklin street almost jump fire someon kick could jenni lost shoe,0,111,0
johnnybean hey chang default,1,49,0
final gave bore enough start thing think go problem tho like myspac statu,0,138,0
ellievolia oooonli realli lucki eh awh definit earli work,1,91,1
buttload homework,1,22,0
need anoth copi visual studio,1,41,1
school world week school silli,1,138,1
omg econom test dont know thing know omg im gon na fail,0,96,0
robcthegeek upon time hundr island pride philippin tourism coral clam rare fish poach kinda sad,1,138,1
henkuyinepu yeah appar realli bad tast,1,54,1
hummiemd know realli surpris sinc everyon recommend youtub call tomorrow figur,1,136,1
wait airport ride get harass men tri sell ugli hat want sleep,0,127,0
left id locat go bar fuckkkkkkkkkkkkk,1,80,1
celycarmo sorri understand last comment,1,58,1
officialrandl announc stay late last night,1,69,1
kishorek strang illeg torrent avlbl everywher legal dvd stock,0,105,0
enough say imiss,1,35,1
trolley pack like sardin padr game remov car good call mt,1,94,1
randomlynat jeez tri help haha,1,51,1
supamagg happen saturday night along glitteri green lighter,1,84,0
tri reduc number cigarett day,1,55,1
yea quiet around cuz everyon work im bore death nobodi talk,0,97,0
got ta cook assign hard,1,44,1
treesahquich okay applepear talk peopl one ever told never,1,131,1
jennifermf know night owl natur hahaha time zone behind almost,1,102,1
mamasvan lol nope complet camerafail,0,58,0
maxim megeld useless sleep fair want fun well,1,99,1
pooki uti nurs gabbi get back soda,1,103,0
jillianfish tweet someth damn hang pleas,1,68,1
anistorm,1,10,1
behind video game everyth matter yesterday news,1,83,1
sleep til noon one left got tempt ate soon got home chocol velvet amp ate mocha,1,139,1
stress blackberri keep flash red alert statu reason fake hate,0,124,0
worn sinc decemb,1,94,1
shoe repair shop guy could find shoe go back see find coupl day,1,134,0
barnett realli see come,1,44,1
woke vivid sketchi cool dream life time stare wall light,1,117,1
take day sister get passport,1,52,1
nicolerichi oh ye miss,1,33,1
uh,0,35,1
good god ruin belli button,1,41,0
watch frame roger rabbit make miss toon town,1,59,1
akianz rent cheap rent awesom hous buy attempt fall,1,99,1
run nose spin head good combin meet,1,69,1
eazydoesit neg lost vote confid,1,56,1
nasti budget due iphon sent appl today,1,61,1
sofii noel bad,1,23,1
dammit episod king play reason stop middl anyth,1,98,1
upset miss chat quiz onlin free internet ceas,1,87,1
believ disbelief way realli much take peopl alway get hurt other,1,126,0
car show season start without,1,39,1
throat raw,1,18,1
kevchoic get person mind could even ish like prayer fam real,1,138,0
frago hate need see need call therapist,0,79,0
twilight come yesterday finger cross today,1,57,1
nilelegania glad abl help feel better hate see sick love,0,84,0
tireddddddd want sleep assign finish exam tomorrow studi,1,99,1
know,1,41,1
,1,21,1
ddlovato david henri ummmmm cant find,1,47,1
heard found sandra,1,66,1
corrosivecandi ive forgotten snoo snoo wonder snoo snoo ever meet,1,99,0
amanorri wow last tweet made seem like giant,1,83,1
bathtub drain fire haz job amp iz fail got drano ass amp iz still drain wan na shower dangit,0,146,0
stuck home,0,14,0
nomadicmatt mine get,1,48,1
duckl famou children book stolen boston public garden boston globe sharethi oh,1,138,0
appomattox news thank howev hate list includ convict,0,94,0
head altrincham hour instal,1,51,1
morn good im bloodi knacker work today helppp xxx,1,79,1
jeffreecuntstar garag park driveway,1,74,1
lauredhel happen,1,26,1
quot popular music quot w adorno probabl difficult read ever prescrib actual struggl continu,1,135,1
cellphon,1,96,1
good like snow right get use nice spring like weather,1,117,1
brian armstrong piti youtub current block china see vid,1,91,1
margaretcho happen show hightlight life,1,73,1
best leather sofa world offic though mean still work,1,106,1
still day internet get uncap,1,50,1
get better day could someth lodg belli,1,84,0
love atekinzz much amp amp soo miss,1,56,0
wan na sneak zoo play kitti,1,53,1
lolitariot oh hope get sick,0,52,0
alejandralei dont think caus cousin birthday parti,1,69,1
sweet littl man fell asleep wait daddi big brother get home poor babi miss much today,1,135,1
angel go miss athlet weekend,1,52,1
trust hard,1,14,1
watch consid today yaknow shawnna tomomorrow need bestfriend,1,85,1
grr want keep read wont anyth left read,1,73,1
atekinzz world,1,39,1
rumlov suppos date,1,39,1
pear amp brie bottl cabernet quot win date tad hamilton quot oh gawwd life flash forward cat,1,150,1
crap need dress,1,31,1
kaeeeep yeah know horribl ugh sadden,1,59,1
brodh geez ur fun,1,31,1
wan na punk rock band,1,37,1
jyesmith lot angst tuesday afternoon,1,56,1
glad britney crazi anymor one hell show sad next,0,129,0
huuug headach omg feel like crap,1,45,0
anistorm sorri,1,16,1
cleder,1,47,1
man took forev,1,24,0
shandasauru see,1,21,1
list item ebay sell take,1,125,0
got present done slide cri week hardest week,1,108,1
lost,1,15,1
like previous skin thing start season two like went straight intro like,1,129,1
houndour pretti good scare shit peopl,1,84,1
go sound,1,59,1
stuiy never click link scream quot spider spider quot known better yucki,1,130,1
time work get sick,0,59,0
pratama imac came indonesia state,1,68,1
,1,42,1
miss sil half asleep turn laptop,1,68,1
death peac life howev bite,0,40,0
think jonathanrknight lost net sure hope,1,54,1
hd dark one underxpos,1,132,1
tough game watch tonight state final go bed also stay watch season premier hill,1,131,0
seem jrubi support hpricot two version behind,1,59,1
jinxcat unlik one,1,51,1
frake app store piss,1,63,1
log need,1,33,1
anyon els problem access ttb cant get,0,62,0
strongli dislik peopl make stupid comment dont know whole stori,1,81,1
emmaketurah sorri emma swarley goldfish sad,1,67,1
tweet alreadi gone miss guy tonight,1,69,1
sleep face kinda swollen let allerg thing get thursday school tomorrow doubt,1,135,1
snick dog izzi cat tree stare floor chase run,1,116,1
offici ban could happili gone boba,1,137,0
humanopium pretti much scari,1,42,1
ilovepi mine find well hard get,1,62,1
good morn readi go want go back bed,1,53,0
hate wait mail,0,24,0
wheat bread dollar store toast nice go tax call earli night,1,110,1
kutner mean knew someth go happen someon sad lt hous well done still sad,1,140,1
jonathanrknight aw ok,1,36,1
ill cant go cinema,1,33,1
fell asleep realli mean christina,1,53,1
kelleyrow hey rememb time use friend ugh vomit sick need sleep,0,100,0
lymph node massiv rahm emanuel ball right,1,64,1
oh comput suck think abl listen xbox fancast tonit,1,93,1
miss play trumpet,1,30,1
throat still realli sore meant go day camp friday sure,1,104,1
sasii know exactli feel,1,36,1
work,1,8,1
well bed time sigh back morn week wednesday,1,80,0
hert jesu camp,1,26,1
marybethun oh everyth happen today forgot go dress shop opera tomorrow,1,119,1
turtl better mac last longer move faster,1,63,1
soak pleasant,1,34,1
ginay sorri hear maggi thought mum,1,63,1
ewarden may email one hope feel better,1,71,1
miamiiboii dead yu gettin wen im leavin,0,46,0
arlenecd pleas tell somewher close california lol,1,70,1
phlaimeaux,1,27,1
stupid arrang convert marri,1,74,1
emilyrupp well said looser show impli,1,80,1
poor sandra cantu amp cantu famili prayer go sick world live,0,114,0
fuck omg austin alway though man lt love,1,56,0
nicolerichi cri hard matthew die,1,48,1
sad feet macbook fell sad feet macbook fell,1,98,0
chordsi last find thing like twitter,1,98,1
lovebscott absolut,1,29,1
,1,81,1
im soooo cold right,1,24,1
heidimontag lol kant believ cam got beat upp sooo embarasssiiiin,1,69,1
jonathanrknight good knight hun look forward ur tweet hate keep miss fun cuz time differ,0,137,0
tumblr exactli feel wear tie,1,79,1
daniela hahaa realiz quot impun quot definit isnt word unclev,1,118,1
watch old video danc team,1,64,1
wahh csi anywher dvr ed love money though gon na watch sleep goodnight tweeter lt,1,105,1
struggl hard inventori,1,31,1
ddlovato hate us pleas,0,40,0
ballinbitch haha im ballin still got bill paaaaay,1,67,1
one day realli want work home crap,1,75,1
paul wog confus,1,67,1
carlyw haha,1,46,1
get statist bunch mumbo jumbo,1,63,1
sloanb got sadli work uk amp us moment,1,64,1
evict,1,8,1
enjoy learn css,1,28,1
nachojohnni brian make fuck lol repli ur miss,1,98,1
heidimontag dvr went watch appar dish network went miss catch rerun,1,132,1
jessdubb lmao may wait anoth season come thru summ boo hot nd dri ass weather,1,106,1
lizchavez set feet ground miss eyelid peopl might get,1,87,1
daniela english professor would asham,1,54,1
wish frog becom extinct,1,75,1
came home cross counti tire,1,38,1
want walk home snow want pick,1,65,1
heidimontag lauren stubborn love love feel bad though made cri lol,1,120,1
grouchi want bmar,1,27,1
heart broken everi morn drop foo pre school understand mom say quot heart broken quot,1,128,1
feel well back hurt,1,32,1
im mood chocol,1,74,1
take heat like oven feel sick nwo,0,67,0
nick carter come chat minut pleas,1,98,1
boredd colddd internet keep stuf,1,42,1
horribl nightmar last night affect sleep realli tire,1,84,1
im lone keep compani femal new york,1,47,1
born broadway lost st ignaciu prepatori school haha,1,70,1
birutagm yeah realli,1,71,1
whoisariston problem tongu cheek remark lot acronym nz,0,79,0
greggrunberg hey said matt gon na go,1,100,1
ugh horribl end sandra kantu stori prayer go,1,62,1
danielledeleasa alreadi thought cool name,0,129,1
morn folk amp away see hors hope twitter better behav today last night travesti,1,128,1
quandotcom miss mine,1,29,1
amandaenglund sorri hear loss mani year far,1,88,1
nicolerichi gossip girl repeat,1,39,1
inyourey reckon,1,25,1
find realli hard use twitter,1,38,1
stuck hous two day,0,43,0
realli sad realli know,1,47,1
thousand mile,1,19,1
mayb one year get tax return girl dream right,1,73,1
back work tire hell feel cold come,0,53,0
clariann knot seriou april th come soon enough,1,60,0
hannahsix cream eye may herp ocular herp differ strain okay though,0,123,0
got ta repeat whole art folio cuz old one whole term work got wet,1,74,0
readi weekend alreadi monday,1,53,1
lovebscott umm lll sleepin like phuckin fish outta water minut,0,132,1
finland sleep night realli enough time,1,59,1
lunafiko wait tri em prolli wait next weekend earliest,1,90,1
shiner take bed blanket,1,45,0
clariann april th come soon enough,1,46,1
want cri,1,13,1
need go bank tomorrow go,1,55,1
earthquak itali sadden three hour away napl famili,1,100,1
sleep stress week come,1,63,1
dragon yea work tp hack server player thing folk,0,82,0
hurt ankl go dr,1,44,1
raymondroman oh noe manag send someth trash empti without notic feel ya,0,122,0
lost free copi radioact put ipod grr go buy nother coz came paper,1,125,1
make shit,1,19,1
photoshop hate crash,0,36,0
vacat make feel sick,0,30,0
gone,1,24,1
listen murd th wonder chillen miss crazi sex life,1,78,1
louie shoot care luisa,0,42,0
hillari sure everyon ruin gift whitney seriou cell easter well,1,113,0
beso,1,36,1
want wake earli tomorrow damn work,1,56,1
finish watch movi prayer bobbi broke heart,1,67,1
syekr myki realli horribl,1,32,1
